"","TradeOrderId","TradeAccountFk","TradeBalanceCurrency","TradeOrderCreated","TradeSide","TradeSymbol","TradeOrderAmount","TradeOrderPrice","TradePosClosed","TradePosClosePrice","TradeUserComment"
"1",15198854,"100182","USD",2017-06-23 09:14:51,"Sell","EURUSD",3000,1.11729,0001-01-01 00:00:00,0,NA
"2",15198856,"100182","USD",2017-06-23 09:15:26,"Sell","LTCEUR",0.03,40.685,2017-06-23 09:15:26,40.7505,NA
"3",15198858,"100182","USD",2017-06-23 09:20:17,"Buy","LTCEUR",0.01,40.99,2017-06-23 09:20:17,40.685,NA
"4",15198859,"100182","USD",2017-06-23 09:20:21,"Buy","EURUSD",3000,1.11734,2017-06-23 09:20:21,1.11729,NA
"5",15199421,"100181",NA,2017-06-22 09:51:37,"Buy","BTCEUR",0.01,2368.447,0001-01-01 00:00:00,0,NA
"6",15378084,"100181",NA,2017-06-23 09:02:11,"Buy","BTCEUR",0.01,2402.91,0001-01-01 00:00:00,0,NA
"7",15378085,"100181",NA,2017-06-23 09:02:22,"Sell","BTCEUR",0.02,2389.735,0001-01-01 00:00:00,0,NA
"8",15378087,"100181",NA,2017-06-23 09:10:31,"Buy","BTCEUR",0.02,2402.55,0001-01-01 00:00:00,0,NA
"9",15378088,"100181",NA,2017-06-23 09:11:02,"Sell","BTCEUR",0.02,2389.735,0001-01-01 00:00:00,0,NA
"10",15378091,"100181",NA,2017-06-23 09:45:38,"Buy","BTCEUR",0.02,2404.863,0001-01-01 00:00:00,0,NA
"11",15378092,"100181",NA,2017-06-23 09:46:56,"Buy","BTCEUR",0.02,2400.989,0001-01-01 00:00:00,0,NA
"12",15378093,"100181",NA,2017-06-23 09:48:24,"Buy","EURUSD",1000,1.11782,0001-01-01 00:00:00,0,NA
"13",15378262,"100181",NA,2017-06-23 13:12:50,"Buy","EURUSD",1000,1.12082,0001-01-01 00:00:00,0,NA
